row_index,sample_id,temperature,temperature_index,replicate_index,chain_index,chain_id,seed,initial_state,production_sweep_number,sample_index_within_chain,split_name,energy_per_spin,signed_magnetisation,absolute_magnetisation,acceptance_fraction
92,d25_t00_r01_s042,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1720,42,train,-1.86,-0.96,0.96,0.013937500000000005
93,d25_t00_r01_s043,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1760,43,train,-1.94,-0.985,0.985,0.013437500000000005
94,d25_t00_r01_s044,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1800,44,train,-1.96,-0.99,0.99,0.013812500000000002
95,d25_t00_r01_s045,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1840,45,train,-1.93,-0.975,0.975,0.0139375
96,d25_t00_r01_s046,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1880,46,train,-1.96,-0.99,0.99,0.014437500000000006
97,d25_t00_r01_s047,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1920,47,train,-1.98,-0.995,0.995,0.015937499999999997
98,d25_t00_r01_s048,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,1960,48,train,-1.94,-0.985,0.985,0.014375000000000004
99,d25_t00_r01_s049,1.5,0,1,1,ising2d_t00_r01_seed25018,25018,down,2000,49,train,-1.96,-0.99,0.99,0.011687500000000003
100,d25_t00_r02_s000,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,40,0,validation,-1.89,0.965,0.965,0.015
101,d25_t00_r02_s001,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,80,1,validation,-1.92,0.98,0.98,0.014687500000000003
102,d25_t00_r02_s002,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,120,2,validation,-1.87,0.965,0.965,0.011437500000000007
103,d25_t00_r02_s003,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,160,3,validation,-1.98,0.995,0.995,0.01525
104,d25_t00_r02_s004,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,200,4,validation,-2.0,1.0,1.0,0.013187500000000005
105,d25_t00_r02_s005,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,240,5,validation,-1.93,0.975,0.975,0.015062500000000003
106,d25_t00_r02_s006,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,280,6,validation,-1.95,0.985,0.985,0.016874999999999998
107,d25_t00_r02_s007,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,320,7,validation,-1.87,0.96,0.96,0.016187500000000004
108,d25_t00_r02_s008,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,360,8,validation,-1.96,0.99,0.99,0.011625000000000005
109,d25_t00_r02_s009,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,400,9,validation,-1.98,0.995,0.995,0.016437499999999997
110,d25_t00_r02_s010,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,440,10,validation,-2.0,1.0,1.0,0.013812500000000002
111,d25_t00_r02_s011,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,480,11,validation,-1.95,0.985,0.985,0.010562500000000006
112,d25_t00_r02_s012,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,520,12,validation,-1.94,0.985,0.985,0.011500000000000007
113,d25_t00_r02_s013,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,560,13,validation,-1.96,0.99,0.99,0.007812500000000003
114,d25_t00_r02_s014,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,600,14,validation,-1.92,0.975,0.975,0.013687500000000005
115,d25_t00_r02_s015,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,640,15,validation,-1.96,0.99,0.99,0.012812500000000004
116,d25_t00_r02_s016,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,680,16,validation,-1.95,0.985,0.985,0.012562500000000004
117,d25_t00_r02_s017,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,720,17,validation,-1.96,0.99,0.99,0.011312500000000007
118,d25_t00_r02_s018,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,760,18,validation,-1.93,0.98,0.98,0.012750000000000006
119,d25_t00_r02_s019,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,800,19,validation,-1.96,0.99,0.99,0.013250000000000001
120,d25_t00_r02_s020,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,840,20,validation,-1.91,0.975,0.975,0.013312500000000001
121,d25_t00_r02_s021,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,880,21,validation,-1.94,0.985,0.985,0.012375000000000006
122,d25_t00_r02_s022,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,920,22,validation,-1.94,0.985,0.985,0.011500000000000007
123,d25_t00_r02_s023,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,960,23,validation,-1.96,0.99,0.99,0.015187500000000001
124,d25_t00_r02_s024,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1000,24,validation,-1.96,0.99,0.99,0.013375000000000007
125,d25_t00_r02_s025,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1040,25,validation,-1.94,0.98,0.98,0.014000000000000004
126,d25_t00_r02_s026,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1080,26,validation,-2.0,1.0,1.0,0.015500000000000005
127,d25_t00_r02_s027,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1120,27,validation,-1.9,0.975,0.975,0.0174375
128,d25_t00_r02_s028,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1160,28,validation,-1.92,0.98,0.98,0.015187500000000003
129,d25_t00_r02_s029,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1200,29,validation,-1.98,0.995,0.995,0.013937500000000002
130,d25_t00_r02_s030,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1240,30,validation,-1.95,0.985,0.985,0.016624999999999994
131,d25_t00_r02_s031,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1280,31,validation,-1.91,0.975,0.975,0.016375000000000008
132,d25_t00_r02_s032,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1320,32,validation,-1.97,0.99,0.99,0.015687499999999997
133,d25_t00_r02_s033,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1360,33,validation,-1.94,0.985,0.985,0.013187500000000008
134,d25_t00_r02_s034,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1400,34,validation,-1.92,0.98,0.98,0.013187500000000001
135,d25_t00_r02_s035,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1440,35,validation,-1.94,0.975,0.975,0.010687500000000003
136,d25_t00_r02_s036,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1480,36,validation,-1.96,0.99,0.99,0.014187500000000002
137,d25_t00_r02_s037,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1520,37,validation,-1.96,0.99,0.99,0.01475
138,d25_t00_r02_s038,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1560,38,validation,-1.96,0.99,0.99,0.012500000000000006
139,d25_t00_r02_s039,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1600,39,validation,-1.94,0.985,0.985,0.011812500000000005
140,d25_t00_r02_s040,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1640,40,validation,-1.98,0.995,0.995,0.014500000000000008
141,d25_t00_r02_s041,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1680,41,validation,-1.98,0.995,0.995,0.014500000000000004
142,d25_t00_r02_s042,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1720,42,validation,-1.96,0.99,0.99,0.012312500000000006
143,d25_t00_r02_s043,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1760,43,validation,-1.98,0.995,0.995,0.010437500000000002
144,d25_t00_r02_s044,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1800,44,validation,-1.94,0.98,0.98,0.011437500000000005
145,d25_t00_r02_s045,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1840,45,validation,-1.96,0.99,0.99,0.01787499999999999
146,d25_t00_r02_s046,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1880,46,validation,-1.97,0.99,0.99,0.015624999999999997
147,d25_t00_r02_s047,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1920,47,validation,-1.94,0.985,0.985,0.015062500000000001
148,d25_t00_r02_s048,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,1960,48,validation,-1.94,0.985,0.985,0.012625000000000003
149,d25_t00_r02_s049,1.5,0,2,2,ising2d_t00_r02_seed25036,25036,up,2000,49,validation,-1.85,0.96,0.96,0.018062500000000006
150,d25_t00_r03_s000,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,40,0,validation,-1.96,-0.99,0.99,0.012812500000000004
151,d25_t00_r03_s001,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,80,1,validation,-1.93,-0.98,0.98,0.010750000000000006
152,d25_t00_r03_s002,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,120,2,validation,-1.97,-0.99,0.99,0.012000000000000005
153,d25_t00_r03_s003,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,160,3,validation,-1.93,-0.98,0.98,0.014250000000000004
154,d25_t00_r03_s004,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,200,4,validation,-1.94,-0.985,0.985,0.013312500000000001
155,d25_t00_r03_s005,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,240,5,validation,-1.98,-0.995,0.995,0.012375000000000008
156,d25_t00_r03_s006,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,280,6,validation,-1.98,-0.995,0.995,0.012125000000000007
157,d25_t00_r03_s007,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,320,7,validation,-2.0,-1.0,1.0,0.011062500000000003
158,d25_t00_r03_s008,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,360,8,validation,-1.98,-0.995,0.995,0.011687500000000005
159,d25_t00_r03_s009,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,400,9,validation,-1.96,-0.99,0.99,0.011437500000000007
160,d25_t00_r03_s010,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,440,10,validation,-1.94,-0.985,0.985,0.012437500000000008
161,d25_t00_r03_s011,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,480,11,validation,-1.96,-0.99,0.99,0.011687500000000007
162,d25_t00_r03_s012,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,520,12,validation,-1.98,-0.995,0.995,0.009812500000000005
163,d25_t00_r03_s013,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,560,13,validation,-1.96,-0.99,0.99,0.010687500000000006
164,d25_t00_r03_s014,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,600,14,validation,-1.94,-0.985,0.985,0.0106875
165,d25_t00_r03_s015,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,640,15,validation,-1.94,-0.985,0.985,0.012750000000000008
166,d25_t00_r03_s016,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,680,16,validation,-1.98,-0.995,0.995,0.013500000000000009
167,d25_t00_r03_s017,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,720,17,validation,-1.96,-0.99,0.99,0.012562500000000004
168,d25_t00_r03_s018,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,760,18,validation,-1.96,-0.99,0.99,0.012875000000000006
169,d25_t00_r03_s019,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,800,19,validation,-1.98,-0.995,0.995,0.012812500000000001
170,d25_t00_r03_s020,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,840,20,validation,-1.93,-0.98,0.98,0.015062500000000003
171,d25_t00_r03_s021,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,880,21,validation,-1.91,-0.97,0.97,0.013250000000000007
172,d25_t00_r03_s022,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,920,22,validation,-1.96,-0.99,0.99,0.014250000000000004
173,d25_t00_r03_s023,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,960,23,validation,-1.96,-0.99,0.99,0.013250000000000003
174,d25_t00_r03_s024,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1000,24,validation,-1.96,-0.99,0.99,0.012625000000000006
175,d25_t00_r03_s025,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1040,25,validation,-1.94,-0.985,0.985,0.014187500000000002
176,d25_t00_r03_s026,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1080,26,validation,-1.9,-0.97,0.97,0.015062500000000006
177,d25_t00_r03_s027,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1120,27,validation,-1.9,-0.97,0.97,0.014125000000000009
178,d25_t00_r03_s028,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1160,28,validation,-1.91,-0.975,0.975,0.019937499999999997
179,d25_t00_r03_s029,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1200,29,validation,-1.94,-0.985,0.985,0.014250000000000004
180,d25_t00_r03_s030,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1240,30,validation,-1.94,-0.985,0.985,0.014125000000000002
181,d25_t00_r03_s031,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1280,31,validation,-1.94,-0.985,0.985,0.01625
182,d25_t00_r03_s032,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1320,32,validation,-1.93,-0.98,0.98,0.016687499999999997
183,d25_t00_r03_s033,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1360,33,validation,-1.93,-0.98,0.98,0.016
184,d25_t00_r03_s034,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1400,34,validation,-1.96,-0.99,0.99,0.012000000000000005
185,d25_t00_r03_s035,1.5,0,3,3,ising2d_t00_r03_seed25054,25054,down,1440,35,validation,-1.96,-0.99,0.99,0.019124999999999996
